what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353965734274
java.specification.version,sysinfo,,,"1.6",1353965734274
java.vendor,sysinfo,,,"Apple Inc.",1353965734274
java.version,sysinfo,,,"1.6.0_33",1353965734274
java.vm.info,sysinfo,,,"mixed mode",1353965734274
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353965734274
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353965734274
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353965734274
java.vm.specification.version,sysinfo,,,"1.0",1353965734274
java.vm.vendor,sysinfo,,,"Apple Inc.",1353965734274
java.vm.version,sysinfo,,,"20.8-b03-424",1353965734274
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1353965735388
